Someone is frying meat.	أحدهم يعزف البيانو.
A man dries his hands.	A woman fixes her hair. 
Kicking a football player the ball in the net from a remote location in the stadium.	A soccer player kicks the ball into the goal. 
Someone rubbed pill Kusa.	A woman is scrubbing a zucchini with a vegetable brush. 
Puppy is trying to get out of the tub.	The puppy tried to get out of the tub. 
Girl plays the piano.	A little girl is playing a grand piano on stage. 
A man paints some pictures.	A man is drawing on a digital dry erase board. 
Monkey hanging from the trees.	The monkey swung from branch to branch. 
Some children jumping on a trampoline.	Two boy are playing on a trampoline. 
Person folding a square piece of paper.	A person folds a piece of paper. 
A women slicing green pepper.	إمرأة تقطّع الفلفل بالسكين.
Panda chews the stick.	A baby panda plays with a stick. 
A man adds oil to the car.	A man is putting anti-freeze into a car. 
People raise their bags.	Several people are carrying large bags. 
The boy playing the piano.	The woman is pouring oil into the pan. 
A man talking on the phone.	A man is moon-walking across a store. 
A man cut a carrot by machine.	A man is climbing a rope. 
A boy playing on the keyboard.	A person is playing a piano keyboard. 
Never plays Blaqt antenna.	A boy is playing in the mud. 
Woman cut the pumpkin.	A person is slicing cantaloupe. 
Woman twisted her hair.	A man is riding a motorcycle. 
A man cut potato.	A woman is climbing a rock wall. 
Woman feed an infant.	A man is adding water to pan. 
A man playing the harp.	A woman is riding a horse. 
People threw a dummy on the edge of the abyss.	Some people are throwing a dummy off a cliff. 
Shot from a pistol.	A potato is being peeled. 
Woman mix eggs.	The woman is eating. 
Woman cut a sheet of plastic.	A woman is playing a guitar on streets. 
Woman cut pineapple.	A woman is slicing a pineapple into pieces. 
Woman adds spice to the meat.	A woman adds ingredients to beef. 
Someone adds oil to the pan.	The cook pouring oil into the pan. 
Some seasoned cook the dough.	A man is seasoning some dough in a pan. 
A boy being on the beach.	Two boys are playing in the beach. 
Little monkey scratching himself.	The monkey scratched his tummy. 
The man throws knives at the tree.	A man is throwing blades into a close target outside. 
Born on a bicycle to the gate.	A woman is riding a horse. 
Explains women tofu.	The woman is putting on lipstick. 
A man riding on a boat.	A man is tying in the machine. 
Woman folds paper.	A woman is applying eye shadow. 
Someone folded piece of paper.	A person is slicing a small pieces of ginger. 
The man card trick.	A man is squeezing water. 
Someone is playing guitar.	رجل يعزف  البيانو.
A man lifts weights.	A man is chopping egg plant. 
A man mows the grass.	A guy is mowing the lawn. 
Someone confuses the water and flour.	A person is hitchhiking on a road. 
Two dogs were in the pen.	The cowboy rode his horse in the desert. 
Steak	A person is performing tricks on a motorcycle. 
A man seasoning quail.	رجل يقدم كعكة.
Never opens a drawer and climb inside.	A big cat opens a plastic drawer with his paws and then hops inside. 
A man opens a box using a knife.	A man is playing a guitar. 
A man eating.	A woman is rock climbing. 
Puppy repeats the volatility of a side-by-side on the back.	A dog is rolling from side to side. 
Little boy singing and playing the harp.	A kid plays the guitar. 
Women peel off the Yamuna.	The man is balancing on the wire. 
A man playing the trumpet.	Someone is playing with a toad. 
A man standing on the roof top of playing the violin.	A man is on a roof dancing. 
Dog looking around him.	A dog is watching a store counter. 
Woman explains nothing.	A man is shown slicing a carrot with a knife. 
A man drills wood.	رجل حفر ثقوبا في الخشب.
Someone cut a circle of paper rosy.	Someone is pouring tomato sauce into a pot of meat. 
A man plays the oboe.	A man is petting a tied up dog. 
A man put the meat in the bag.	A man is drivong a car. 
Girl eat grain Cupcake.	A man is playing a trumpet. 
Smell the rabbit and the rabbit scratch game.	A live rabbit is playing with a stuffed animal bunny. 
A man painted bread buttered.	A woman is ridint a horse. 
A monkey pratices martial arts.	قرد يركل شخصا بركلة كاراتي.
Woman squeeze some cucumber slices.	A woman is getting doused in green slime. 
A man takes a piece of pizza pepperoni off the pizza box and put it on top of the lid after closing the fund.	The man took a piece of pepperoni pizza out of the box. 
The man added vegetables to the broth in the pot.	A man is adding sliced vegetables to a cooking bowl with water. 
The man ran and jumped and bumped into the wall.	A man jumps into a wall. 
A man plays the cello.	A man is rapidly lifting small weights. 
The man speaks.	A man is walking down stairs. 
Man trying to feed a mouse to a snake.	A man is teasing a snake with a mouse. 
A man seasoned sausage.	The man added seasoning to water in a bowl. 
Clown singing and dancing people.	A clown is singing. 
Woman feed Aardvark.	A woman is chopping up garlic. 
A man carries a women.	رجل يحدّ سكينا.
Someone Rinse steak with water.	A man is rinsing a large steak. 
Boy rode his bike over a metal fence.	A BMX biker rides along the top of a fence. 
A man throws knives at the tree.	A man is showing magic. 
A man beating drums.	A woman is slicing some leaves. 
Woman combing her feet.	A woman is chopping an onion. 
A man playing the harp.	A man is sitting and playing a small guitar. 
Girls walking on the stage.	Women models are walking down a catwalk. 
Woman exercise weight exercises.	A woman is exercising with a barbell. 
Man peeled potato.	A man is hiking. 
Bird picks up a glass of plastic beak containing fluid and put the cup in a bowl.	A bird picks up a plastic cup containing a liquid with it's beak and puts the cup into a bowl. 
Woman in the rain.	A car is driving along the road. 
Woman ride villa.	A man is lifting himself. 
Woman removes the skin of some of the meat.	A woman is slicing a tomato. 
Woman wearing headphones.	A woman is chopping some shiso leaves. 
Kitten drink milk from a bowl.	A small child is drinking water from a cup. 
Kitten eat her food dish.	A kitten eats some food. 
Women reading a magazine about life style.	A woman is slicing a meat into pieces. 
Man ejaculate chili in a bowl.	A man opens a can and pours the contents into a bowl. 
Man mixes ingredients in a bowl.	A man is beating two eggs in a bowl with a fork. 
Eat bird food from a bowl on the tree	A bird is eating from a bowl. 
A group of girls Tagadrn taxi.	A video clip of Rihanna leaving a taxi. 
A man breaking bricks on another man.	A woman breaks an egg into a pan. 
Woman marinate a piece of meat.	A man is loading a rifle with bullets. 
Woman relax in the bathtub.	A woman is stabbing a potato with a fork. 
Woman adds fuel to the fish.	The woman is cutting potatoes. 
Woman write something.	A woman is chopping green onions. 
Man minced cilantro leaves.	A man is playing a guitar. 
A man takes a slice of pizza.	A man talks on his cell phone. 
A man puts the meat inside a plastic bag.	A woman is carrying a wallaby in a bag. 
Child eat his food.	A baby is being fed peas. 
A man cut a carrot by machine.	A man is standing in the rain. 
Rabbit speaks.	A man is walking on a rope. 
A woman rubs a baby&#39;s leg.	رجل يركب الحصان.
A man playing the guitar.	Smeone is laying down. 
A man cut a cake.	A man is breaking pots. 
A man driving a car.	A woman dips a shrimp in batter. 
Lynch dog fly in the carpet before.	The dog played with a bug on the carpet. 
Barking Dog.	A jet is flying. 
A man playing the guitar and singing on stage.	A man is playing the electric guitar. 
Monkey walking on the bed.	A man is riding a horse. 
Woman cook broccoli.	A man is eating his food. 
A man beating a boy a pot of flowers.	A man is cutting a mat. 
A boy playing the piano.	A man is singing and playing a guitar. 
Man fry tortilla.	A person is performing a card trick. 
Woman offers volleyball on the network.	One woman hands volleyballs to another woman who serves them. 
A person makes fire.	بدأ الشخص الحريق.
A man with a knife cut option.	A man is cooking a tortilla in a skillet. 
A man playing on the letter keys waved.	A band is playing instruments. 
The man whipped cream mixed.	The man is holding a skunk. 
A man playing the violin	The baby is laughing and crawling. 
Man confused juicier.	A man is peeling an onion. 
A man cut off the toe of the shoe leather empty using the sword.	A man is cutting a boot with a sword. 
Someone explains a couple of ribs is cooked separately.	Someone is cutting a piece of meat. 
The person removing the fins of the fish.	A person is descaling a fish. 
People walking in the park.	One boy is talking with other man. 
Toddler riding horse.	The little girl rode a horse. 
Someone cut garlic into pieces with a knife.	Someone is putting ingredients into a wok. 
A man folding a piece of paper.	A man is slicing a plastic container with a sword. 
Man pays to the water.	A man pushes another man into the ocean. 
Born annoyed playing video games.	Someone is playing a gameboy. 
A man telephone contact with a mobile phone.	A man is making a phone call. 
A man talking on the phone.	A panda bear is chewing on a stick. 
Man kicking water pots.	A man is turning foods. 
Woman put powder on her face.	A woman is putting on makeup. 
A man lifts weights.	 رفع الرجل الحديد.
Two young girls talking on the phone.	Two couple are talking with each other. 
Never comment on a moving ceiling fan.	A cat is swinging on a fan. 
Cat drinking milk.	A white cat is licking and drinking milk kept on a plate. 
Women feed the animals by hand.	The women are feeding the animal. 
Woman ride horses on the beach.	A woman is washing a bowl. 
Someone minced herb.	A man is finely chopping a green substance. 
It climbs several rodents out of their cage.	Ferrets climb down from a shelf. 
Woman tap water collected in a bowl.	A boy is filling a pitcher with water. 
Young woman playing the flute.	A woman is washing off the top of a freezer. 
Woman fired from the pistol.	The woman is shooting a rifle. 
Someone beats eggs in a bowl.	A woman is beating two eggs in a bowl using a wire whisk. 
Badra person adds to the chili pepper with beans beans.	The man is adding seasoning to the beans. 
Woman launches quickly fire a handgun hands.	A woman is shooting off a gun. 
Rocky and Apollo Creed running down the beach.	The men are jogging on the beach. 
A man sings while playing the guitar.	A man is stuffing himself full with food. 
The dog was not able to take out how to stick a matter of dogs.	A dog is trying to get through his dog door. 
A dog closes a refrigerator door.	كلب يفتح الثلاجة.
Woman mix eggs in a bowl.	A man is doing push ups. 
Sailing boat in the water.	The man is playing the guitar. 
Woman raises baby dancing.	A woman is abusing her child. 
The woman Bmacaiaj clown on the man.	The girl applied face makeup to a man. 
Said Ms. cheese to the sauce.	A man pours a plate of shredded cheese into a pot of sauce. 
A man gives a lecture on the podium.	A man is delivering a lecture at an event celebrating the game of cricket. 
Vibrates cat under the bed.	A cat is crawling upside down under the couch. 
A woman slices a fish.	إمرأة تقطع الثوم.
A masked man sings.	رجل يقطع العشب.
A man cutting grass.	A clown is singing. 
Many of the children jump up and down on a trampoline.	A man is doing back flips on a trampoline. 
A man carrying another man on his back.	A man is taking pictures of ant. 
Mrs. provided some slides on the shrimp.	A chef is slicing a shrimp. 
Woman pouring eggs into the frying pot.	A man is petting two dogs. 
Woman fry minced meat.	A man is cutting a trunk with an axe. 
Meat is dropped into a bowl.	A woman is putting meat in a pan. 
Woman cut green onions.	A woman falls on a sand castle. 
Machine wears away the pencil.	A girl is riding a bicycle. 
A man cleans the windows.	A man is driving a car. 
Someone mixed media.	A man is playing a guitar. 
Someone raises rice.	A woman is cracking an egg. 
Three boys in the fashion karate fighting.	Three men are practicing karate moves in a field. 
A man puts the knife into the underworld.	A man is dancing. 
A boy playing the violin on stage.	A boy is onstage playing the violin. 
Woman cut loaf pink knife.	A man is playing a guitar. 
A man adds pork chops to the pan.	A woman is peeling a potato. 
Men fighting each other.	The man drew on the white paper. 
Girl reads the newspaper.	A chef is peeling a potato. 
Loris slow bite the fingers of people.	A small animal is chewing on a finger. 
A man walks along the road through the wilderness.	A man is peeling an onion. 
The man playing his guitar.	A guy is singing while playing his guitar. 
Racing swimmers in the lake.	Women swimmers are diving in from the starting platform. 
